,Unnamed: 0,zipcode,unleashed,barking,poop,violation,nameone,nametwo,namethree,namefour,namefive,dognumber,breedone,breedtwo,breedthree,breedfour,breedfive,colorone,colortwo,colorthree,colorfour,colorfive,nameonenum,nametwonum,namethreenum,namefournum,namefivenum,breedonenum,breedtwonum,breedthreenum,breedfournum,breedfivenum,coloronenum,colortwonum,colorthreenum,colorfournum,colorfivenum,Fnum,Mnum,Fnameone,Fnametwo,Fnamethree,Fbreedone,Fbreedtwo,Fbreedthree,Fcolorone,Fcolortwo,Fcolorthree,Mnameone,Mnametwo,Mnamethree,Mbreedone,Mbreedtwo,Mbreedthree,Mcolorone,Mcolortwo,Mcolorthree,Fnameonenum,Fnametwonum,Fnamethreenum,Fbreedonenum,Fbreedtwonum,Fbreedthreenum,Fcoloronenum,Fcolortwonum,Fcolorthreenum,Mnameonenum,Mnametwonum,Mnamethreenum,Mbreedonenum,Mbreedtwonum,Mbreedthreenum,Mcoloronenum,Mcolortwonum,Mcolorthreenum,Fneuterednum,Mneuterednum,Fvaccinatednum,Mvaccinatednum,Fnamefour,Fnamefournum,Fnamefive,Fnamefivenum,Fbreedfour,Fbreedfournum,Fbreedfive,Fbreedfivenum,Fcolorfour,Fcolorfournum,Fcolorfive,Fcolorfivenum,Mnamefour,Mnamefournum,Mnamefive,Mnamefivenum,Mbreedfour,Mbreedfournum,Mbreedfive,Mbreedfivenum,Mcolorfour,Mcolorfournum,Mcolorfive,Mcolorfivenum,Vaccinated,Neutered,COCO,MAX,BELLA,SHIH,CHIHUAHUA,YORKSHIRE,BROWN,WHITE,BLACK
0,0,00083,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,1,10001,14.0,91.0,0.0,15.0,Coco,Bella,Mollie,Tyson,Charlie,461.0,Shih Tzu,"Bull Dog, French",Yorkshire Terrier,Jack Russell Terrier,Maltese,Black,White,Brown,Tan,Fawn,7.0,6.0,4.0,4.0,4.0,28.0,27.0,24.0,18.0,17.0,119.0,99.0,40.0,40.0,31.0,208.0,253.0,Bella,Coco,Mollie,"Bull Dog, French",Yorkshire Terrier,Shih Tzu,Black,White,Brown,Tyson,Charlie,Buddy,Shih Tzu,Jack Russell Terrier,"Bull Dog, French",Black,White,Tan,6.0,6.0,4.0,13.0,11.0,8.0,53.0,37.0,20.0,4.0,4.0,3.0,20.0,15.0,14.0,66.0,62.0,25.0,170.0,205.0,170.0,220.0,Lola,4.0,Abbey,3.0,Boston Terrier,8.0,Maltese,7.0,Tan,15.0,Fawn,12.0,Cody,3.0,Jackson,3.0,Yorkshire Terrier,13.0,Chihuahua,10.0,Brown,20.0,Fawn,19.0,390.0,375.0,7,0,6,28,16,24,40,99,119
2,2,10002,37.0,155.0,2.0,38.0,Max,Gizmo,Tobby,Ruby,Charlie,627.0,Yorkshire Terrier,Chihuahua,Shih Tzu,Maltese,"Bull Dog, French",Black,White,Tan,Brown,Gray,11.0,7.0,6.0,6.0,6.0,62.0,44.0,44.0,26.0,20.0,170.0,149.0,74.0,64.0,24.0,261.0,366.0,Ruby,Bella,Cookie,Yorkshire Terrier,Shih Tzu,Chihuahua,Black,White,Tan,Max,Gizmo,Tobby,Yorkshire Terrier,Chihuahua,Shih Tzu,White,Black,Tan,5.0,4.0,4.0,24.0,23.0,19.0,86.0,62.0,26.0,11.0,7.0,6.0,38.0,25.0,21.0,87.0,84.0,48.0,212.0,274.0,230.0,321.0,Lily,4.0,Ginger,4.0,Maltese,12.0,"Bull Dog, French",11.0,Brown,25.0,Fawn,9.0,Charlie,6.0,Cody,4.0,Maltese,14.0,American Pit Bull Terrier,11.0,Brown,39.0,Gray,16.0,551.0,486.0,2,11,4,44,44,62,64,149,170
3,3,10003,64.0,270.0,1.0,21.0,Lucy,Lola,Lily,Gus,Oliver,894.0,Chihuahua,Labrador Retriever,Yorkshire Terrier,Shih Tzu,Labrador Retriever Crossbreed,Black,White,Tan,Brown,Blond,8.0,7.0,7.0,6.0,6.0,43.0,41.0,34.0,32.0,30.0,245.0,182.0,94.0,91.0,60.0,447.0,447.0,Lucy,Lily,Lola,Chihuahua,Labrador Retriever,Yorkshire Terrier,Black,White,Brown,Gus,Oliver,Cooper,Chihuahua,Labrador Retriever,Yorkshire Terrier,Black,White,Tan,8.0,7.0,7.0,20.0,20.0,17.0,121.0,92.0,44.0,6.0,6.0,6.0,23.0,21.0,17.0,124.0,90.0,52.0,393.0,370.0,397.0,375.0,Bella,5.0,Zoe,5.0,Havanese,17.0,Shih Tzu,16.0,Tan,42.0,Blond,30.0,Max,5.0,Charlie,5.0,Shih Tzu,16.0,Labrador Retriever Crossbreed,16.0,Brown,47.0,Blond,30.0,772.0,763.0,4,5,5,32,43,34,91,182,245
4,4,10004,46.0,21.0,0.0,5.0,Sydney,Maya,Betty,Peanut,Gizmo,76.0,Shih Tzu,Cavalier King Charles Spaniel,Pomeranian,Chihuahua,Italian Greyhound,Black,White,Brown,Red,Tan,2.0,2.0,2.0,2.0,1.0,5.0,4.0,4.0,3.0,3.0,18.0,14.0,12.0,7.0,5.0,36.0,40.0,Sydney,Maya,Betty,Chihuahua,Shih Tzu,Cavalier King Charles Spaniel,Brown,Black,White,Ronan,Micah,Matias,Maltese,Cocker Spaniel,Cavalier King Charles Spaniel,Black,White,Brown,2.0,2.0,2.0,3.0,3.0,2.0,8.0,8.0,5.0,1.0,1.0,1.0,3.0,2.0,2.0,10.0,9.0,4.0,31.0,30.0,29.0,31.0,Kiana,1.0,Juno,1.0,Dachshund,2.0,Pomeranian,2.0,Fawn,4.0,Tan,4.0,Johnny,1.0,Boston,1.0,Italian Greyhound,2.0,Rhodesian Ridgeback,2.0,Red,4.0,Cream,3.0,60.0,61.0,0,0,1,5,3,3,12,14,18
5,5,10005,0.0,26.0,0.0,9.0,Oscar,Trever,Winnie,Kiki,Max,169.0,Cavalier King Charles Spaniel,Cocker Spaniel,Shiba Inu,Yorkshire Terrier,Chihuahua,Black,White,Tan,Brown,Blond,3.0,2.0,2.0,2.0,2.0,10.0,9.0,7.0,7.0,6.0,50.0,38.0,15.0,13.0,8.0,74.0,95.0,Lola,Kiki,Madison,Cocker Spaniel,Yorkshire Terrier,Labrador Retriever,Black,White,Tan,Oscar,Trever,Max,Cavalier King Charles Spaniel,Havanese,Shiba Inu,Black,White,Brown,2.0,2.0,2.0,5.0,5.0,4.0,25.0,13.0,7.0,3.0,2.0,2.0,7.0,5.0,5.0,25.0,25.0,10.0,59.0,75.0,61.0,80.0,Winnie,2.0,Laika,2.0,Shih Tzu,4.0,Jack Russell Terrier,4.0,Gray,4.0,Blond,4.0,Henry,2.0,Sebastian,2.0,Chihuahua,4.0,Cocker Spaniel,4.0,Tan,8.0,Red,4.0,141.0,134.0,0,2,0,6,6,7,13,38,50
6,6,10006,0.0,12.0,0.0,2.0,Lola,Russell,May,Penny,Buddy,75.0,Chihuahua,"Bull Dog, French",Labrador Retriever,Morkie,Yorkshire Terrier,Black,Brown,White,Brindle,Tan,2.0,2.0,2.0,1.0,1.0,6.0,4.0,4.0,3.0,3.0,21.0,11.0,11.0,7.0,6.0,33.0,42.0,Lola,May,Hazel,Labrador Retriever,Golden Retriever,"Bull Dog, French",Black,White,Fawn,Russell,Hurley,Buddy,Chihuahua,Beagle,Chihuahua Crossbreed,Black,Brown,White,2.0,2.0,1.0,4.0,3.0,2.0,10.0,5.0,4.0,2.0,1.0,1.0,5.0,2.0,2.0,11.0,8.0,6.0,28.0,34.0,28.0,36.0,Mia,1.0,Nera,1.0,Labrador Retriever Crossbreed,2.0,Chihuahua,1.0,Brown,3.0,Gray,2.0,Teddy,1.0,Colt,1.0,"Bull Dog, French",2.0,Morkie,2.0,Tan,6.0,Brindle,5.0,64.0,62.0,0,1,0,2,6,3,11,11,21
7,7,10007,0.0,25.0,0.0,0.0,Coco,Mollie,Penny,Fred,Loki,124.0,Shih Tzu,Labrador Retriever,Maltese,"Bull Dog, French",Havanese,Black,White,Brown,Tan,Blond,4.0,3.0,2.0,2.0,2.0,10.0,9.0,6.0,5.0,5.0,36.0,25.0,20.0,8.0,7.0,53.0,71.0,Coco,Mollie,Penny,Chihuahua,Labrador Retriever,Havanese,Black,White,Brown,Baxter,Charlie,Fred,Shih Tzu,Labrador Retriever,Maltese,Black,Brown,White,4.0,3.0,2.0,4.0,4.0,4.0,16.0,13.0,7.0,2.0,2.0,2.0,7.0,5.0,4.0,20.0,13.0,12.0,47.0,63.0,45.0,66.0,Eloise,1.0,Bella,1.0,"Poodle, Toy",3.0,Shih Tzu,3.0,Chocolate,3.0,Tan,3.0,Loki,2.0,Milo,2.0,"Bull Dog, English",3.0,"Bull Dog, French",3.0,Blond,5.0,Tan,5.0,111.0,110.0,4,0,1,10,4,4,20,25,36
8,8,10009,26.0,332.0,8.0,74.0,Charlie,Teddy,Lola,Lucky,Oliver,1112.0,Yorkshire Terrier,Shih Tzu,Chihuahua,Maltese,Cocker Spaniel,Black,White,Brown,Tan,Brindle,14.0,9.0,9.0,8.0,8.0,75.0,53.0,49.0,37.0,32.0,315.0,226.0,131.0,115.0,48.0,527.0,584.0,Lola,Lucy,Bella,Yorkshire Terrier,Shih Tzu,Chihuahua,Black,White,Brown,Charlie,Teddy,Oliver,Yorkshire Terrier,Shih Tzu,Chihuahua,Black,White,Brown,9.0,8.0,7.0,35.0,27.0,25.0,151.0,118.0,62.0,10.0,9.0,8.0,40.0,26.0,24.0,163.0,108.0,69.0,451.0,497.0,476.0,536.0,Daisy,7.0,Princess,7.0,Maltese,23.0,Beagle,18.0,Tan,57.0,Brindle,22.0,Jack,8.0,Lucky,8.0,Cocker Spaniel,22.0,"Bull Dog, French",18.0,Tan,58.0,Brindle,26.0,1012.0,948.0,7,6,7,53,49,75,131,226,315
9,9,10010,10.0,114.0,2.0,11.0,Bella,Henry,Tobby,Lucy,Luna,590.0,Yorkshire Terrier,Chihuahua,Maltese,Shih Tzu,Labrador Retriever,Black,White,Brown,Tan,Gray,10.0,6.0,5.0,5.0,5.0,33.0,32.0,29.0,27.0,26.0,143.0,126.0,61.0,49.0,30.0,242.0,348.0,Bella,Luna,Lucy,Yorkshire Terrier,Chihuahua,Havanese,Black,White,Brown,Henry,Tobby,Cooper,Maltese,Chihuahua,Shih Tzu,Black,White,Brown,10.0,5.0,5.0,21.0,16.0,14.0,69.0,53.0,24.0,6.0,5.0,4.0,18.0,16.0,15.0,74.0,73.0,37.0,205.0,286.0,211.0,305.0,Sofie,4.0,Daisy,4.0,Labrador Retriever,12.0,Shih Tzu,12.0,Tan,16.0,Gray,12.0,Tucker,4.0,Oliver,4.0,Labrador Retriever Crossbreed,15.0,Labrador Retriever,14.0,Tan,33.0,Gray,18.0,516.0,491.0,5,2,10,27,32,33,61,126,143
