iata,ids,longitude,latitude,name,allnet,shortname,ratepopulation,allin,allout,ws1in,ws1out,ws1net,ws2in,ws2out,ws2net,ws3in,ws3out,ws3net,ws4in,ws4out,ws4net,ws5in,ws5out,ws5net,oc1in,oc1out,oc1net,ws6in,ws6out,ws6net,oc2in,oc2out,oc2net,em1in,em1out,em1net,oc3in,oc3out,oc3net,oc4in,oc4out,oc4net,oc5in,oc5out,oc5net,em2in,em2out,em2net,oc6in,oc6out,oc6net,em3in,em3out,em3net,em4in,em4out,em4net,numberpopulation
Atla,12060,-84.391502,33.748546999999995,"Atlanta-Sandy Springs-Marietta, GA",14575,"Atlanta, GA",5291701,88396,73821,16501,15739,762,2067,1809,258,8204,8344,-140,5204,4373,831,3912,3680,232,13892,14663,-771,8330,6024,2306,6522,5246,1276,24601,24802,-201,9880,8633,1247,1971,1794,177,2334,2112,222,6345,4433,1912,129,277,-148,139,605,-466,13133,10129,3004,1.0
Aust,12420,-97.74659799999999,30.264978999999997,"Austin-Round Rock, TX",22191,"Austin, TX",1731777,62221,40030,14087,10292,3795,3174,1992,1182,8983,7006,1977,8681,4072,4609,3566,2493,1073,13972,11394,2578,8580,3738,4842,8313,4061,4252,25107,18334,6773,11001,6580,4421,2301,1650,651,2451,1410,1041,3528,2605,923,21,210,-189,93,281,-188,18343,8373,9970,1.0
Balt,12580,-76.61233299999999,39.290442999999996,"Baltimore-Towson, MD",3181,"Baltimore, MD",2715650,56145,52964,16982,14287,2695,1999,1941,58,5930,6601,-671,4977,5525,-548,3090,3004,86,14648,13430,1218,5936,4513,1423,5763,5411,352,23754,21156,2598,7180,7827,-647,1744,1735,9,2013,1490,523,2222,2935,-713,721,597,124,1243,925,318,11695,10855,840,1.0
Birm,13820,-86.807705,33.522859000000004,"Birmingham-Hoover, AL",941,"Birmingham, AL",1128093,10026,9085,1349,1713,-364,82,127,-45,973,881,92,647,431,216,492,269,223,1210,1339,-129,923,740,183,548,708,-160,2389,2372,17,788,634,154,186,335,-149,307,182,125,333,443,-110,10,105,-95,37,205,-168,1707,1141,566,1.0
Bost,14460,-71.056742,42.358894,"Boston-Cambridge-Quincy, MA-NH",3294,"Boston, MA",4563673,71654,68360,17828,17548,280,2963,3023,-60,11592,12711,-1119,11098,8672,2426,4030,3988,42,23149,23220,-71,7215,5851,1364,8331,7345,986,31640,32330,-690,11194,10934,260,1807,1868,-61,1860,1878,-18,3874,4319,-445,235,248,-13,248,336,-88,18964,14808,4156,1.0
Buff,15380,-78.879374,42.887691,"Buffalo-Cheektowaga-Tonawanda, NY",-3519,"Buffalo, NY",1135411,9156,12675,1365,2804,-1439,388,484,-96,1237,1522,-285,1414,1265,149,691,713,-22,1792,2472,-680,1265,1452,-187,1327,1424,-97,2745,4556,-1811,1164,1681,-517,295,318,-23,279,432,-153,597,728,-131,35,25,10,8,202,-194,3010,2754,256,1.0
Char,16740,-80.840161,35.222936,"Charlotte-Gastonia-Concord, NC-SC",11761,"Charlotte, NC",1766452,34636,22875,7332,5190,2142,613,424,189,3803,2218,1585,2868,1380,1488,2058,1234,824,6083,4877,1206,2253,2052,201,3086,1556,1530,11223,7542,3681,4436,2598,1838,1159,643,516,1497,381,1116,2517,1137,1380,17,115,-98,30,213,-183,5157,3606,1551,1.0
Chic,16980,-87.632398,41.883229,"Chicago-Naperville-Joliet, IL-IN-WI",-23949,"Chicago, IL",9460763,88330,112279,24055,29097,-5042,2970,4316,-1346,13687,15167,-1480,9299,12456,-3157,4781,6514,-1733,24376,31035,-6659,6498,11475,-4977,8137,10721,-2584,36099,44161,-8062,13266,15366,-2100,1822,3351,-1529,3054,3725,-671,5649,7332,-1683,2888,2433,455,3536,3721,-185,16006,23811,-7805,1.0
Cinc,17140,-84.513808,39.104427,"Cincinnati-Middletown, OH-KY-IN",-2854,"Cincinnati, OH",2129745,23077,25931,3302,3901,-599,788,1159,-371,2356,3247,-891,3274,2761,513,1209,1342,-133,3634,4130,-496,1678,2042,-364,2703,2861,-158,5912,7555,-1643,2838,3164,-326,474,572,-98,934,1180,-246,900,879,21,75,131,-56,17,216,-199,5778,5802,-24,1.0
Clev,17460,-81.6915,41.505546,"Cleveland-Elyria-Mentor, OH",-5373,"Cleveland, OH",2074824,19625,24998,3969,4609,-640,609,1043,-434,2794,3637,-843,2443,3400,-957,1173,1298,-125,4564,5107,-543,1860,2553,-693,2298,3468,-1170,6976,8436,-1460,2730,3361,-631,415,590,-175,769,1029,-260,1586,1471,115,0,113,-113,68,144,-76,4218,6489,-2271,1.0
Colu,18140,-82.996291,39.962762,"Columbus, OH",4226,"Columbus, OH",1840267,30538,26312,5221,6335,-1114,1460,748,712,4183,3931,252,4558,3152,1406,1717,1399,318,5611,6548,-937,2956,1949,1007,4410,2669,1741,10112,10242,-130,4620,3671,949,617,809,-192,1343,1301,42,1323,1798,-475,37,201,-164,4,269,-265,8656,5205,3451,1.0
Dall,19100,-96.796215,32.777977,"Dallas-Fort Worth-Arlington, TX",15964,"Dallas, TX",6400781,100902,84938,24813,21169,3644,3213,3126,87,13526,10283,3243,8811,7965,846,5822,5295,527,22647,17759,4888,10211,9566,645,9523,8412,1111,40723,32368,8355,15167,12440,2727,3439,3582,-143,4535,3334,1201,5503,4694,809,191,860,-669,250,1226,-976,19920,19116,804,1.0
Denv,19740,-104.984853,39.738453,"Denver-Aurora, CO",10391,"Denver, CO",2554243,43284,32893,10714,7333,3381,1369,860,509,6021,3929,2092,3326,2473,853,1850,1442,408,11051,6627,4424,2833,2455,378,3161,2782,379,17736,11137,6599,5881,3894,1987,1468,917,551,1127,784,343,2122,1584,538,81,471,-390,73,556,-483,6182,5215,967,1.0
Detr,19820,-83.047853,42.332916,"Detroit-Warren-Livonia, MI",-20792,"Detroit, MI",4304617,21823,42615,3903,9347,-5444,474,1210,-736,2417,4844,-2427,1442,3494,-2052,1135,2032,-897,4140,9227,-5087,2336,4506,-2170,1260,2940,-1680,6617,14891,-8274,2147,5445,-3298,582,1048,-466,860,1442,-582,1476,2508,-1032,11,222,-211,18,300,-282,3596,7734,-4138,1.0
