alldto,allonet,allotd,destination,origin,ws1onet,ws1dto,ws1otd,ws2onet,ws2dto,ws2otd,ws3onet,ws3dto,ws3otd,ws4onet,ws4dto,ws4otd,ws5onet,ws5dto,ws5otd,oc1onet,oc1dto,oc1otd,ws6onet,ws6dto,ws6otd,oc2onet,oc2dto,oc2otd,em1onet,em1dto,em1otd,oc3onet,oc3dto,oc3otd,oc4onet,oc4dto,oc4otd,oc5onet,oc5dto,oc5otd,em2onet,em2dto,em2otd,oc6onet,oc6dto,oc6otd,em3onet,em3dto,em3otd,em4onet,em4dto,em4otd
588.0,-265.0,853.0,Aust,Atla,-82.0,76.0,158.0,-7.0,46.0,53.0,48.0,131.0,83.0,-50.0,28.0,78.0,0.0,0.0,0.0,148.0,229.0,81.0,-130.0,0.0,130.0,-51.0,15.0,66.0,-142.0,195.0,337.0,-35.0,37.0,72.0,-51.0,0.0,51.0,-28.0,0.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-107.0,58.0,165.0
1210.0,-151.0,1361.0,Balt,Atla,0.0,153.0,153.0,-32.0,0.0,32.0,29.0,148.0,119.0,-37.0,68.0,105.0,11.0,138.0,127.0,-113.0,104.0,217.0,-25.0,91.0,116.0,-43.0,152.0,195.0,-89.0,250.0,339.0,14.0,138.0,124.0,46.0,46.0,0.0,39.0,39.0,0.0,25.0,66.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,282.0,272.0
1848.0,-107.0,1955.0,Birm,Atla,-25.0,333.0,358.0,24.0,65.0,41.0,-9.0,170.0,179.0,-117.0,65.0,182.0,-139.0,97.0,236.0,-18.0,256.0,274.0,-1.0,239.0,240.0,-94.0,137.0,231.0,-97.0,489.0,586.0,-88.0,241.0,329.0,20.0,37.0,17.0,-13.0,59.0,72.0,126.0,212.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,-296.0,268.0,564.0
2783.0,1538.0,1245.0,Bost,Atla,228.0,468.0,240.0,12.0,42.0,30.0,230.0,430.0,200.0,48.0,103.0,55.0,20.0,27.0,7.0,237.0,588.0,351.0,-50.0,70.0,120.0,186.0,207.0,21.0,465.0,887.0,422.0,57.0,208.0,151.0,11.0,11.0,0.0,19.0,28.0,9.0,105.0,114.0,9.0,0.0,0.0,0.0,-12.0,0.0,12.0,-70.0,139.0,209.0
893.0,554.0,339.0,Buff,Atla,73.0,191.0,118.0,0.0,0.0,0.0,103.0,103.0,0.0,67.0,82.0,15.0,18.0,75.0,57.0,-12.0,95.0,107.0,63.0,101.0,38.0,-8.0,38.0,46.0,121.0,254.0,133.0,238.0,264.0,26.0,34.0,34.0,0.0,9.0,20.0,11.0,104.0,161.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,137.0,38.0
1838.0,-287.0,2125.0,Char,Atla,-287.0,458.0,745.0,-27.0,0.0,27.0,-232.0,63.0,295.0,-41.0,118.0,159.0,-12.0,97.0,109.0,-42.0,436.0,478.0,96.0,229.0,133.0,-253.0,60.0,313.0,-521.0,536.0,1057.0,-110.0,178.0,288.0,-73.0,23.0,96.0,-101.0,39.0,140.0,-77.0,103.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,326.0,231.0
5374.0,739.0,4635.0,Chic,Atla,-279.0,711.0,990.0,160.0,368.0,208.0,-417.0,328.0,745.0,149.0,457.0,308.0,135.0,385.0,250.0,-615.0,672.0,1287.0,153.0,606.0,453.0,178.0,451.0,273.0,-421.0,1291.0,1712.0,140.0,628.0,488.0,8.0,142.0,134.0,141.0,251.0,110.0,72.0,433.0,361.0,-52.0,16.0,68.0,-71.0,16.0,87.0,321.0,1115.0,794.0
1368.0,786.0,582.0,Cinc,Atla,57.0,131.0,74.0,42.0,42.0,0.0,106.0,144.0,38.0,-95.0,36.0,131.0,-12.0,6.0,18.0,102.0,144.0,42.0,37.0,87.0,50.0,-61.0,96.0,157.0,131.0,233.0,102.0,56.0,103.0,47.0,0.0,0.0,0.0,16.0,16.0,0.0,66.0,92.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,-62.0,121.0,183.0
1005.0,25.0,980.0,Clev,Atla,-230.0,132.0,362.0,-25.0,0.0,25.0,31.0,163.0,132.0,70.0,77.0,7.0,25.0,47.0,22.0,-136.0,120.0,256.0,-103.0,13.0,116.0,42.0,108.0,66.0,-201.0,200.0,401.0,-139.0,57.0,196.0,91.0,97.0,6.0,13.0,37.0,24.0,13.0,127.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.0,105.0,149.0
808.0,229.0,579.0,Colu,Atla,154.0,220.0,66.0,-5.0,0.0,5.0,-8.0,54.0,62.0,-69.0,3.0,72.0,0.0,0.0,0.0,20.0,88.0,68.0,109.0,118.0,9.0,-28.0,8.0,36.0,128.0,258.0,130.0,-36.0,65.0,101.0,0.0,0.0,0.0,68.0,68.0,0.0,-42.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,137.0,42.0
3241.0,-106.0,3347.0,Dall,Atla,73.0,793.0,720.0,-25.0,90.0,115.0,5.0,258.0,253.0,-123.0,82.0,205.0,92.0,146.0,54.0,-105.0,454.0,559.0,140.0,369.0,229.0,41.0,331.0,290.0,-120.0,1049.0,1169.0,-22.0,281.0,303.0,-17.0,53.0,70.0,-73.0,52.0,125.0,73.0,163.0,90.0,0.0,0.0,0.0,-10.0,0.0,10.0,219.0,526.0,307.0
863.0,-507.0,1370.0,Denv,Atla,2.0,216.0,214.0,0.0,0.0,0.0,-83.0,19.0,102.0,-24.0,20.0,44.0,-15.0,0.0,15.0,-221.0,24.0,245.0,11.0,38.0,27.0,137.0,175.0,38.0,-96.0,247.0,343.0,-17.0,36.0,53.0,-39.0,0.0,39.0,0.0,0.0,0.0,-5.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,38.0,46.0
2883.0,1957.0,926.0,Detr,Atla,506.0,613.0,107.0,0.0,0.0,0.0,308.0,415.0,107.0,13.0,78.0,65.0,39.0,59.0,20.0,279.0,369.0,90.0,262.0,327.0,65.0,198.0,240.0,42.0,625.0,829.0,204.0,304.0,432.0,128.0,43.0,43.0,0.0,23.0,62.0,39.0,158.0,220.0,62.0,0.0,0.0,0.0,5.0,5.0,0.0,340.0,438.0,98.0
620.0,223.0,397.0,Hart,Atla,76.0,196.0,120.0,-7.0,0.0,7.0,-14.0,33.0,47.0,7.0,18.0,11.0,-35.0,0.0,35.0,50.0,160.0,110.0,121.0,121.0,0.0,-2.0,31.0,33.0,67.0,232.0,165.0,-36.0,33.0,69.0,23.0,23.0,0.0,-8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,136.0,55.0
1702.0,-844.0,2546.0,Hous,Atla,-324.0,347.0,671.0,43.0,116.0,73.0,-242.0,103.0,345.0,9.0,80.0,71.0,-116.0,24.0,140.0,-183.0,306.0,489.0,1.0,180.0,179.0,-42.0,123.0,165.0,-619.0,497.0,1116.0,-195.0,139.0,334.0,-132.0,71.0,203.0,-78.0,31.0,109.0,16.0,171.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.0,182.0,208.0
1152.0,558.0,594.0,Indi,Atla,322.0,396.0,74.0,0.0,0.0,0.0,-9.0,21.0,30.0,13.0,49.0,36.0,0.0,0.0,0.0,-34.0,76.0,110.0,1.0,37.0,36.0,147.0,165.0,18.0,306.0,446.0,140.0,148.0,148.0,0.0,0.0,0.0,0.0,77.0,77.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,36.0
2226.0,-668.0,2894.0,Jack,Atla,-141.0,556.0,697.0,47.0,56.0,9.0,34.0,303.0,269.0,-36.0,200.0,236.0,-48.0,55.0,103.0,-308.0,257.0,565.0,-125.0,137.0,262.0,98.0,192.0,94.0,-393.0,749.0,1142.0,60.0,546.0,486.0,-27.0,21.0,48.0,44.0,139.0,95.0,176.0,280.0,104.0,15.0,15.0,0.0,10.0,15.0,5.0,-62.0,263.0,325.0
688.0,94.0,594.0,Kans,Atla,22.0,87.0,65.0,-12.0,0.0,12.0,5.0,54.0,49.0,37.0,37.0,0.0,2.0,14.0,12.0,28.0,95.0,67.0,-19.0,0.0,19.0,9.0,21.0,12.0,67.0,158.0,91.0,42.0,56.0,14.0,0.0,0.0,0.0,2.0,20.0,18.0,-8.0,0.0,8.0,-27.0,0.0,27.0,0.0,0.0,0.0,-24.0,34.0,58.0
693.0,-265.0,958.0,LasV,Atla,-68.0,94.0,162.0,-5.0,10.0,15.0,-101.0,68.0,169.0,-40.0,31.0,71.0,20.0,37.0,17.0,-69.0,95.0,164.0,-151.0,64.0,215.0,-31.0,68.0,99.0,-194.0,135.0,329.0,-38.0,57.0,95.0,-25.0,10.0,35.0,-31.0,10.0,41.0,-16.0,87.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,-135.0,82.0,217.0
3313.0,1153.0,2160.0,LosA,Atla,151.0,704.0,553.0,-67.0,102.0,169.0,242.0,496.0,254.0,258.0,406.0,148.0,-16.0,182.0,198.0,226.0,906.0,680.0,134.0,505.0,371.0,186.0,253.0,67.0,372.0,1342.0,970.0,111.0,504.0,393.0,47.0,51.0,4.0,66.0,157.0,91.0,-86.0,173.0,259.0,-6.0,4.0,10.0,-2.0,8.0,10.0,418.0,872.0,454.0
739.0,127.0,612.0,Loui,Atla,83.0,221.0,138.0,-22.0,0.0,22.0,45.0,51.0,6.0,24.0,24.0,0.0,0.0,16.0,16.0,60.0,207.0,147.0,-63.0,11.0,74.0,-5.0,0.0,5.0,110.0,267.0,157.0,45.0,50.0,5.0,50.0,55.0,5.0,0.0,0.0,0.0,-2.0,15.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.0,41.0,82.0
1611.0,547.0,1064.0,Memp,Atla,95.0,238.0,143.0,30.0,92.0,62.0,22.0,166.0,144.0,51.0,129.0,78.0,-120.0,60.0,180.0,269.0,391.0,122.0,-3.0,82.0,85.0,0.0,93.0,93.0,248.0,512.0,264.0,-33.0,181.0,214.0,0.0,0.0,0.0,-155.0,20.0,175.0,118.0,146.0,28.0,-3.0,0.0,3.0,-3.0,0.0,3.0,-288.0,109.0,397.0
7788.0,3011.0,4777.0,Miam,Atla,406.0,1827.0,1421.0,-8.0,124.0,132.0,95.0,827.0,732.0,173.0,441.0,268.0,228.0,543.0,315.0,429.0,1370.0,941.0,711.0,1024.0,313.0,213.0,642.0,429.0,244.0,2498.0,2254.0,186.0,991.0,805.0,-75.0,324.0,399.0,178.0,338.0,160.0,508.0,841.0,333.0,-31.0,0.0,31.0,-36.0,0.0,36.0,889.0,1447.0,558.0
604.0,227.0,377.0,Milw,Atla,-43.0,47.0,90.0,0.0,0.0,0.0,-22.0,10.0,32.0,-66.0,0.0,66.0,0.0,0.0,0.0,-73.0,0.0,73.0,58.0,58.0,0.0,-32.0,0.0,32.0,-117.0,47.0,164.0,-18.0,57.0,75.0,0.0,0.0,0.0,-8.0,0.0,8.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,50.0,24.0
923.0,-68.0,991.0,Minn,Atla,10.0,123.0,113.0,-12.0,0.0,12.0,-55.0,23.0,78.0,-21.0,73.0,94.0,-45.0,0.0,45.0,-39.0,107.0,146.0,11.0,31.0,20.0,2.0,35.0,33.0,-131.0,123.0,254.0,-89.0,38.0,127.0,0.0,0.0,0.0,-36.0,0.0,36.0,-2.0,61.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,66.0,45.0
1728.0,-39.0,1767.0,Nash,Atla,155.0,284.0,129.0,2.0,21.0,19.0,-80.0,179.0,259.0,62.0,164.0,102.0,51.0,67.0,16.0,198.0,397.0,199.0,11.0,78.0,67.0,-32.0,117.0,149.0,122.0,488.0,366.0,18.0,177.0,159.0,0.0,0.0,0.0,6.0,24.0,18.0,71.0,94.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,211.0,203.0
1709.0,-5.0,1714.0,NewO,Atla,-225.0,137.0,362.0,44.0,86.0,42.0,96.0,215.0,119.0,-30.0,41.0,71.0,32.0,75.0,43.0,-84.0,121.0,205.0,-115.0,64.0,179.0,91.0,172.0,81.0,-114.0,335.0,449.0,-135.0,67.0,202.0,44.0,76.0,32.0,76.0,118.0,42.0,-68.0,97.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.0,186.0,202.0
11237.0,5190.0,6047.0,NewY,Atla,560.0,1864.0,1304.0,233.0,336.0,103.0,619.0,1229.0,610.0,505.0,688.0,183.0,367.0,665.0,298.0,395.0,1754.0,1359.0,491.0,1167.0,676.0,493.0,845.0,352.0,1264.0,3223.0,1959.0,936.0,1398.0,462.0,190.0,281.0,91.0,312.0,403.0,91.0,536.0,948.0,412.0,11.0,11.0,0.0,-12.0,0.0,12.0,987.0,1778.0,791.0
318.0,-369.0,687.0,Okla,Atla,-17.0,58.0,75.0,5.0,5.0,0.0,-45.0,22.0,67.0,-22.0,21.0,43.0,16.0,16.0,0.0,-54.0,35.0,89.0,-21.0,28.0,49.0,13.0,48.0,35.0,-122.0,53.0,175.0,-5.0,29.0,34.0,-27.0,0.0,27.0,0.0,0.0,0.0,43.0,43.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,-15.0,44.0,59.0
2530.0,56.0,2474.0,Orla,Atla,23.0,420.0,397.0,-52.0,28.0,80.0,-5.0,211.0,216.0,94.0,119.0,25.0,-100.0,75.0,175.0,-77.0,304.0,381.0,219.0,334.0,115.0,21.0,148.0,127.0,-71.0,560.0,631.0,82.0,390.0,308.0,-55.0,0.0,55.0,-22.0,0.0,22.0,71.0,216.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,411.0,232.0
2786.0,1293.0,1493.0,Phil,Atla,-61.0,222.0,283.0,28.0,33.0,5.0,80.0,287.0,207.0,170.0,223.0,53.0,120.0,160.0,40.0,5.0,220.0,215.0,34.0,161.0,127.0,105.0,210.0,105.0,230.0,573.0,343.0,195.0,330.0,135.0,74.0,106.0,32.0,-18.0,28.0,46.0,-32.0,140.0,172.0,8.0,8.0,0.0,8.0,8.0,0.0,165.0,365.0,200.0
1857.0,115.0,1742.0,Phoe,Atla,46.0,452.0,406.0,-10.0,83.0,93.0,-12.0,107.0,119.0,70.0,189.0,119.0,7.0,137.0,130.0,-5.0,498.0,503.0,44.0,278.0,234.0,20.0,199.0,179.0,25.0,724.0,699.0,98.0,211.0,113.0,25.0,42.0,17.0,-29.0,12.0,41.0,14.0,154.0,140.0,6.0,6.0,0.0,6.0,6.0,0.0,100.0,362.0,262.0
1009.0,68.0,941.0,Pitt,Atla,173.0,291.0,118.0,-79.0,0.0,79.0,-5.0,64.0,69.0,-4.0,83.0,87.0,-64.0,35.0,99.0,-63.0,119.0,182.0,36.0,61.0,25.0,108.0,151.0,43.0,97.0,340.0,243.0,2.0,100.0,98.0,3.0,40.0,37.0,-60.0,32.0,92.0,-30.0,49.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,145.0,155.0
465.0,-244.0,709.0,Port,Atla,-80.0,24.0,104.0,0.0,0.0,0.0,-169.0,12.0,181.0,0.0,0.0,0.0,6.0,22.0,16.0,-108.0,19.0,127.0,-12.0,18.0,30.0,-14.0,0.0,14.0,-261.0,24.0,285.0,18.0,27.0,9.0,-23.0,12.0,35.0,-116.0,0.0,116.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,43.0,46.0
263.0,-195.0,458.0,Prov,Atla,-22.0,0.0,22.0,0.0,0.0,0.0,-89.0,0.0,89.0,-42.0,0.0,42.0,-20.0,0.0,20.0,-60.0,0.0,60.0,-10.0,0.0,10.0,-48.0,0.0,48.0,-35.0,0.0,35.0,-41.0,0.0,41.0,-24.0,0.0,24.0,0.0,0.0,0.0,-43.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,-105.0,0.0,105.0
1008.0,426.0,582.0,Rale,Atla,32.0,194.0,162.0,13.0,13.0,0.0,59.0,66.0,7.0,84.0,108.0,24.0,42.0,60.0,18.0,145.0,198.0,53.0,-9.0,60.0,69.0,71.0,71.0,0.0,67.0,236.0,169.0,74.0,156.0,82.0,0.0,0.0,0.0,13.0,13.0,0.0,74.0,84.0,10.0,3.0,3.0,0.0,3.0,3.0,0.0,77.0,178.0,101.0
