,Unnamed: 0,duration1,duration0,duration3,duration2,apviewers2,apviewers3,apviewers0,apviewers1,program0,program1,program2,program3,airtime1,airtime0,papviewers3,airtime3,papviewers2,airtime2,papviewers1,papviewers0,paviewers0,paviewers1,paviewers2,paviewers3,episode1,episode0,episode3,episode2,aviewers3,aviewers2,aviewers1,aviewers0,network,inaduration,inaprogram,inaairtime,inaviewers,inpaviewers,inaepisode,inapprogram,inapduration,inpapviewers,inapviewers,inapairtime,inapepisode,outpaviewers,outaviewers,outaepisode,outaprogram,outaduration,outaairtime,outpapviewers,outapprogram,outapduration,outapairtime,outapepisode,outapviewers,slhimpressions,sl7hunduplicated_reach,slhfrequency,slafrequency,sl3ptotal_reach,blhconversion,slhduplicated_reach,slaptotal_reach,sl7aduplicated_reach,bl3hfrequency,slhtotal_reach,blptotal_reach,sl7apunduplicated_reach,sl7pduplicated_reach,sl3hfrequency,sl7pimpressions,bl3hcv_rate,bl7atotal_reach,sl3aduplicated_reach,blhunduplicated_reach,sl3himpressions,bl7aimpressions,blapimpressions,bl7aunduplicated_reach,slpconversion,slhcv_rate,sl7apduplicated_reach,bl3aconversion,sl7aimpressions,blpunduplicated_reach,bl3hunduplicated_reach,slpunduplicated_reach,bl7pimpressions,bl7pduplicated_reach,blacv_rate,bl7hunduplicated_reach,sl3pcv_rate,blapcv_rate,slptotal_reach,sl3hduplicated_reach,bl3aduplicated_reach,bl3himpressions,slapconversion,blhtotal_reach,blhimpressions,sl3pfrequency,slhconversion,bl7ptotal_reach,bl7hcv_rate,bl7hfrequency,slapfrequency,sl7punduplicated_reach,sl3pduplicated_reach,sl7apcv_rate,sl3hunduplicated_reach,bl7apunduplicated_reach,bl3ptotal_reach,sl7hfrequency,slapcv_rate,bl7hduplicated_reach,blaunduplicated_reach,sl3apduplicated_reach,bl3aunduplicated_reach,sl3aptotal_reach,blpfrequency,bl3atotal_reach,sl3apconversion,slpduplicated_reach,sl7afrequency,slatotal_reach,sl3afrequency,bl3afrequency,sl3punduplicated_reach,slaconversion,blapunduplicated_reach,bl3aptotal_reach,bl7acv_rate,sl7acv_rate,bl3pimpressions,blaconversion,sl7aptotal_reach,bl3pfrequency,blapduplicated_reach,bl3pduplicated_reach,sl3apcv_rate,bl3acv_rate,sl7apfrequency,sl7hcv_rate,blaimpressions,sl3aconversion,bl7himpressions,slpfrequency,sl3acv_rate,sl3pconversion,bl7htotal_reach,sl7himpressions,sl3atotal_reach,bl7hconversion,blaptotal_reach,slpcv_rate,sl7ptotal_reach,slapunduplicated_reach,blpconversion,blpcv_rate,bl3apconversion,bl3apfrequency,bl7aptotal_reach,sl7apimpressions,bl3hconversion,bl3pcv_rate,bl7apimpressions,sl7hconversion,bl7apduplicated_reach,sl3hcv_rate,bl7afrequency,sl3aunduplicated_reach,sl3pimpressions,blapconversion,bl7pconversion,sl3apimpressions,bl7pcv_rate,bl3apimpressions,bl3punduplicated_reach,bl7apcv_rate,sl7apconversion,bl3htotal_reach,slhunduplicated_reach,sl7pcv_rate,bl7pfrequency,bl3apduplicated_reach,slpimpressions,slaimpressions,blpduplicated_reach,blafrequency,blhduplicated_reach,bl7punduplicated_reach,bl3apcv_rate,sl7aconversion,blapfrequency,bl3pconversion,sl3hconversion,sladuplicated_reach,sl7pfrequency,sl3htotal_reach,bl7aconversion,blatotal_reach,sl7aunduplicated_reach,slapduplicated_reach,bl7apconversion,sl7atotal_reach,slacv_rate,bladuplicated_reach,bl3apunduplicated_reach,blpimpressions,bl7aduplicated_reach,bl3aimpressions,sl7htotal_reach,bl7apfrequency,sl7hduplicated_reach,blhcv_rate,blhfrequency,bl3hduplicated_reach,slapimpressions,sl3apfrequency,sl7pconversion,sl3apunduplicated_reach,sl3aimpressions,slaunduplicated_reach
0,0,0,120,0,0,0,0,2006444,0,SECRETS AND LIES,,,,0,2016-02-21 21:00:00,0,0,0,0,0,6.5522,5.099,0,0,0,,,,,0,0,0,3596554,ABC,60,ONCE UPON A TIME,8:00:00 PM,3994,0.8883,,,0,0,0,0,,0,0,,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,120,0,0,0,0,367985,0,SUNDAY MOVIE,,,,0,2016-02-21 20:00:00,0,0,0,0,0,1.2017,1.269,0,0,0,,"LUCKY ONE, THE",,,0,0,0,895073,ABCFAM,0,,0,0,0,,,0,0,0,0,,5.2485,22946,YOU AGAIN,SUNDAY MOVIE,120,10:00:00 PM,0,,0,0,,0,169296,78136,1.31,1.35,152930,0,56359,39013,23795,0,129223,0,27928,42531,1.33,211532,0,0,23795,0,181782,0,0,0,0,0.002,14972,0,122365,0,0,105216,0,0,0,0,0,0,146092,58862,0,0,0,0,0,1.38,255,0,0,0,1.38,110399,42531,0,78136,0,0,1.33,0,0,0,14972,0,42900,0,0,0,40876,1.38,83321,1.38,0,110399,0,0,0,0,0,0,0,42900,0,0,0,0,0,1.44,0.0019,0,0,0,1.36,0,0,0,182110,88517,0,0,0,152930,24041,0,0,0,0,0,61578,0,0,0,255,0,0.0019,0,64722,211207,0,0,61578,0,0,0,0,0,0,72864,0,0,0,199359,112725,0,0,0,0,0,0,0,0,255,23511,1.38,136998,0,0,64722,14972,0,88517,0,0,0,0,0,0,136998,0,58862,0,0,0,53697,1.44,0,27928,122365,59810
2,2,31,30,0,0,0,0,249897,229340,STORAGE WARS,STORAGE WARS,,,2016-02-21 21:30:00,2016-02-21 21:00:00,0,0,0,0,0.7489,0.8161,0.7013,0.6796,0,0,MR. NEZHODAS OPUS 149,LOCKER MOUNTAIN HIGH 147,,,0,0,479372,494664,AETV,0,,0,0,0,,,0,0,0,0,,0,0,,,0,0,0,,0,0,,0,756172,177860,1.55,1.58,607053,0,313138,157831,134000,0,486491,0,82059,325422,1.57,964439,0,0,133669,0,786011,0,0,0,10821,0.0214,81488,0,440258,0,0,271357,0,0,0,0,0.0188,0,589043,321675,0,0,2143,0,0,1.59,10397,0,0,0,1.63,281962,325091,0.0166,177861,0,0,1.57,0.0136,0,0,81488,0,163547,0,0,2717,317686,1.61,265112,1.61,0,281962,2143,0,0,0,0.0099,0,0,163547,0,0,0,0.0166,0,1.68,0.0218,0,2717,0,1.57,0.01,11395,0,786384,272745,0,0,0.0184,607384,77711,0,0,0,0,0,274665,0,0,0,10905,0,0.0218,0,139076,964005,0,0,274665,0,0,0,0,2717,0,173353,0.0188,0,0,927503,419815,0,0,0,0,0,2717,0,0,10905,130548,1.59,499536,0,0,139076,80120,0,273076,0.0081,0,0,0,0,0,499828,0,321968,0,0,0,257202,1.68,11395,82059,439825,134564
3,3,0,60,0,0,0,0,59404,0,DAWN OF THE APOCALYPSE,,,,0,2016-02-21 21:00:00,0,0,0,0,0,0.194,0.1561,0,0,0,,,,,0,0,0,110084,AHC,0,,0,0,0,,,0,0,0,0,,4.2968,18785,,SECRETS OF THE BIBLE,60,10:00:00 PM,2.1171,SECRETS OF THE BIBLE,60,10:00:00 PM,,3809,498567,152211,1.4,1.34,400392,0,193349,103614,99586,0,355452,0,58490,194482,1.41,542989,0,0,99586,0,503516,0,0,0,0,0.0154,45629,0,260239,0,0,208958,0,0,0,0,0,0,397529,206019,0,0,0,0,0,1.36,5478,0,0,0,1.39,205910,194482,0,152211,0,0,1.41,0,0,0,45629,0,104119,0,0,0,188571,1.34,193045,1.34,0,205910,0,0,0,0,0,0,0,104119,0,0,0,0,0,1.4,0.0404,0,0,0,1.35,0,0,0,503516,193550,0,0,0,400392,57985,0,0,0,0,0,145801,0,0,0,14478,0,0.0404,0,93964,542989,0,0,145801,0,0,0,0,0,0,162103,0,0,0,538516,258859,0,0,0,0,0,0,0,0,14478,99144,1.36,358230,0,0,93964,45629,0,193550,0,0,0,0,0,0,358230,0,206019,0,0,0,144421,1.4,0,58490,260239,93901
4,4,0,60,0,0,0,0,3554,0,FAULT LINES,,,,0,2016-02-21 21:00:00,0,0,0,0,0,0.0116,0.005,0,0,0,,MEXICO DISAPPEARED,,,0,0,0,3554,ALJAZEERA,0,,0,0,0,,,0,0,0,0,,0,0,,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,0,61,0,0,0,0,2672231,0,WALKING DEAD,,,,0,2016-02-21 21:00:00,0,0,0,0,0,8.7264,8.432,0,0,0,,512 REMEMBER,,,0,0,0,5947509,AMC,0,,0,0,0,,,0,0,0,0,,3.5701,15608,512,TALKING DEAD,59,10:01:00 PM,6.7821,TALKING DEAD,59,10:01:00 PM,512,12202,540667,172775,1.39,1.44,492606,0,218663,87632,62834,0,388872,0,55719,199655,1.39,701023,0,0,62834,0,547093,0,0,0,1378,0.0051,33936,0,261523,0,0,290611,0,0,0,0,0.0119,0,488106,220074,0,0,0,0,0,1.42,1990,0,0,0,1.5,293281,199655,0,172775,0,0,1.39,0,0,0,33936,0,89655,0,0,0,197495,1.45,177295,1.45,0,292951,0,0,0,0,0,0,0,89655,0,0,0,0,0,1.51,0.0163,0,0,0,1.42,0,5862,0,547957,180425,0,0,0.0028,492936,54129,0,0,0,0,0,135195,0,0,0,6395,0,0.0163,0,117591,700177,0,0,135195,0,0,0,0,0,0,170209,0.0119,0,0,691715,255445,0,0,0,0,0,0,0,0,6395,62044,1.42,392849,0,0,117591,33503,0,180425,0,0,0,0,0,0,392849,0,220074,0,0,0,131832,1.51,5862,55719,261523,115251
6,6,0,60,0,0,0,0,188288,0,NORTH WOODS LAW: ON HUNT,,,,0,2016-02-21 21:00:00,0,0,0,0,0,0.6149,0.5334,0,0,0,,,,,0,0,0,376228,APL,0,,0,0,0,,,0,0,0,0,,0,0,,,0,0,0,,0,0,,0,393406,161557,1.17,1.22,363915,0,164087,88317,42102,0,335084,0,68878,130237,1.17,444166,0,0,42102,0,393406,0,0,0,0,0,19439,0,209054,0,0,233678,0,0,0,0,0,0,363915,173527,0,0,0,0,0,1.22,0,0,0,0,1.22,233678,130237,0,161557,0,0,1.17,0,0,0,19439,0,88317,0,0,0,130237,1.22,171397,1.22,0,233678,0,0,0,0,0,0,0,88317,0,0,0,0,0,1.22,0,0,0,0,1.22,0,0,0,393406,171397,0,0,0,363915,68878,0,0,0,0,0,107455,0,0,0,0,0,0,0,129295,444166,0,0,107455,0,0,0,0,0,0,170997,0,0,0,444166,209054,0,0,0,0,0,0,0,0,0,42102,1.22,335084,0,0,129295,19439,0,171397,0,0,0,0,0,0,335084,0,173527,0,0,0,107455,1.22,0,68878,209054,129295
7,7,0,59,0,0,0,0,9806,0,EXTRANORMAL IMPACTO PT,,,,0,2016-02-21 21:01:00,0,0,0,0,0,0.032,0.2166,0,0,0,,,,,0,0,0,152764,AZTECA,0,,0,0,0,,,0,0,0,0,,0,0,,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,0,60,0,0,0,0,29139,0,DOCTOR WHO,,,,0,2016-02-21 21:00:00,0,0,0,0,0,0.0952,0.1162,0,0,0,,,,,0,0,0,81978,BBCA,60,DOCTOR WHO,8:00:00 PM,2722,0.6054,,DOCTOR WHO,60,1.3352,2722,8:00:00 PM,,0.6226,2722,,DOCTOR WHO,60,10:00:00 PM,1.5129,DOCTOR WHO,60,10:00:00 PM,,2722,87868,28749,1.45,1.54,83761,0,35568,27529,24845,0,60592,0,10031,41220,1.45,124873,0,0,24845,0,94197,0,0,0,202,0.0035,18563,0,67396,0,0,40822,0,0,0,0,0.0024,0,78327,36330,0,0,202,0,0,1.46,212,0,0,0,1.62,44367,39395,0.0071,28749,0,0,1.44,0.0073,0,0,18563,0,28594,0,0,202,37505,1.53,41588,1.53,0,44366,202,0,0,0,0.0046,0,0,28594,0,0,0,0.0071,0,1.61,0.0032,0,202,0,1.46,0.0046,202,0,96438,43962,0,0,0.0026,85587,10458,0,0,0,0,0,46141,0,0,0,212,0,0.0033,0,19117,122563,0,0,46141,0,0,0,0,202,0,25024,0.0024,0,0,114301,64244,0,0,0,0,0,202,0,0,212,23354,1.46,65079,0,0,19117,17071,0,43962,0.0049,0,0,0,0,0,66872,0,38123,0,0,0,44712,1.61,202,10031,67396,18234
9,9,0,120,0,0,0,0,4404,0,LA LIGA BBVA - R,,,,0,2016-02-21 21:00:00,0,0,0,0,0,0.0144,0.0603,0,0,0,,REAL MADRID VS. VILLAREAL,,,0,0,0,42509,BEIE,0,,0,0,0,,,0,0,0,0,,0,0,,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,0,60,0,0,0,0,5728,0,EXPRESS XTRA WKND - R,,,,0,2016-02-21 21:00:00,0,0,0,0,0,0.0187,0.0187,0,0,0,,XTRA WEEKEND - R,,,0,0,0,13188,BEIN,0,,0,0,0,,,0,0,0,0,,0,0,,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
